title,genres,runtime,rated,year,directors,cast,type
Jurassic World: Fallen Kingdom,"[""Action"",""Sci-Fi""]",130,PG-13,2018,"[""J. A. Bayona""]","[""Chris Pratt"",""Bryce Dallas Howard"",""Rafe Spall""]",movie
Tag,"[""Comedy"",""Action""]",105,R,2018,"[""Jeff Tomsic""]","[""Annabelle Wallis"",""Jeremy Renner"",""Jon Hamm""]",movie
